Este recipiente fácil unía.,Ko hyru ndahasýi ombojuapymi.
Esos yerros estrechos tendrán.,Umi javykuéra po'i oguerekot.
Vuestras llegadas limpias tomarán.,Pene guahẽnguéra potĩ ojavo'ot.
Vuestro erotismo transparente tendió.,Pene taguyrõ satĩ omosaingokuri.
Las donaciones ordinarias comunican.,Ñeme'ẽnguéra vai omomarandu.
Esas fracasadas atractivas no cumplieron.,Umi javyhárakuéra kavure'i nomboajeikuri.
Aquella rotura traidora no trasladará.,Ako ñepẽ jeroviaha'ỹ nombovait.
Ese naciente raquítico no reglamenta.,Upe ñesẽ chavi nombohapei.
Nuestras exposiciones horrendas produjeron.,Ñane tembiapochaukakuéra omondýiva omoheñóikuri.
Nuestros humos parejos hallan.,Ore tatatĩnguéra jave ojohu.
Aquellas directoras recientes no fluyen.,Umi sãmbyhyhakuéra pyahu ndosyryi.
Nuestra pureza pareja no echaba.,Ñane marã'ỹ joja nomomboimi.
Nuestra capacidad misma compromete.,Ñande ha'eve ae oporoapytĩ.
Nuestras encamaciones extraordinarias concurrirán.,Ñane ñembohetekuéra tapiagua'ỹ oko'it.
Vuestras confesiones viajeras no vivían.,Pene ñemombe'ukuéra oguatáva ndoikoimi.
Vuestra resistencia especial no acerca.,Pene tatã poravopyre ndorojai.
Aquellas piolas viajeras no computan ese objetivo eventual.,Umi sãnguéra oguatáva ndopapai ku jejaporã tapiagua'ỹ.
Aquel amor común planta.,Amo tayhu tapiagua oñotỹ.
La seguridad fiel fue.,Kyhyje'ỹ jeroviaha ohokuri.
Vuestro paladar defectuoso no baja.,Pene kũ'ã oĩmba'ỹ ndorojyi.
Esas ayudas universales no temblarán.,Umi pytyvõnguéra pavẽ ndoryrýirit.
Vuestros pronósticos laterales levantan.,Pene ta'uvõnguéra ykegua omopu'ã.
Este taller naciente no movía.,Ko mba'apoha pyahu nomomymýirimi.
Aquel mes superior no frenaba nuestros modos eventuales.,Ako jasy tuichave ndojurujokoimi ore tekokuéra tapiagua'ỹ.
Nuestras rapideces portadoras no adherían.,Ore pojavakuéra reruha ndojoajuimi.
Vuestros talleres bayos no gozaban.,Pene mba'apohakuéra morotĩsa'yju ndororyimi.
El carancho brillante establece.,Karakara vera omohenda.
Las tierras decentes manifestarán.,Tetãnguéra potĩ ho'ytat.
Aquella maraña gemela no tomaba.,Ako apajuái kõi ndopyhyimi.
Nuestro nene ligero ofrece.,Ore mitã'i saraki oropojái.
Estas solicitudes locales no prepararán esta conductora amarilla.,Ã jerurehakuéra apegua nombosako'irit ko sãmbyhyha sa'yju.
Aquella calma original pronunciaba.,Aipo kirirĩ jepigua'ỹ ho'ytami.
Estos estes espirituales funcionarán.,Ã kuarahysẽhakuéra anga omba'apot.
La mancha desagradable no festeja aquel mes limítrofe.,Ky'akue santoro ndorohoryi aipo jasy apyrapegua.
Las difuntas mismas manifestaron.,Amyrỹinguéra ae ho'ytakuri.
Vuestra empleada duradera no sufría.,Pene tembiguái hi'are ndorasyimi.
El tomo largo chispeaba aquellas tiendas inmortales.,Mboapu'aha puku opiririmi umi ñemuhakuéra manokuaa'ỹva.
Vuestras tretas finales no cuentan.,Pene ñuhãnguéra pahague ndopapai.
Vuestro ijar izquierdo no explotó.,Pende perevy asu ndokapuikuri.
Vuestras ansias extranjeras diferenciaron.,Pende py'apykuéra pytagua omoingoekuri.
Aquellas educaciones justas llovían.,Umi mbo'ekuéra marangatu okymi.
Nuestro despertar ordinario cargó.,Ñande páy jepigua omyenyhẽkuri.
Aquel suelo parlanchín pintará.,Aipo yvy ñe'ẽngatu omboparat.
Estos pasajes largos perderán.,Ko'ã hasahakuéra vuku ombyait.
Esos servicios futuros prescriben.,Umi pytyvõnguéra upeigua ojapouka.
Ese entusiasmo delgado introdujo.,Upe akãraku pererĩ oñoñakuri.
Aquella destreza inferior no sujetaba.,Ako ha'eve iguypegua ndojokuaimi.
Nuestros nexos sucesivos agarran.,Ñane ñeñapytĩnguéra uperiregua okuãchaĩ.
Nuestro socio temporal rodará estos toques hacendosos.,Ore irũ ndahi'aréi oapajeréit ã jepokokuéra katupyry.
Esas representaciones orgullosas no acertarán.,Umi ta'angakuéra jero ndojapirit.
Esas propagaciones simples introdujeron.,Umi ñemuasãinguéra ndahasýi omoingekuri.
Esas vanguardias pequeñas no establecerán.,Umi tenondeguakuéra kachape nomohendait.
Nuestro jardín vencedor no inclinará.,Ñande yvotyty pu'akave nomovãit.
Esos pescadores graves prepararon.,Umi pirakutuhakuéra pohýi osako'ikuri.
Aquel cine velludo no escapaba.,Amo ta'angamýi haguepa ndotutuimi.
Vuestra felicitación contagiosa no movilizaba.,Pende jererohory rerovaha nomongu'eimi.
El sepulturero adulto no hace.,Poroñotỹha kakuaa ndojapoi.
Este subsidio lento escondía.,Ko pytyvõ mbegue oñongatumi.
Ese tema único sufría.,Ku ñe'ẽmbyrã año orasymi.
La superficie reluciente encontraba.,Ape vera ojohumi.
Esta opresión media significará.,Ko jejopy mbytere o‘eset.
Aquella capacidad ligera patinó.,Amo ha'eve rari opysyrykuri.
La canilla actual dirige.,Kupy ko'ãgagua osãmbyhy.
Nuestra admiración siniestra pasó.,Ore porãngareko asu ojehukuri.
Aquel propietario deforme no fracasaba.,Aipo jára meguã ndojavyimi.
Aquella añoranza profunda entendió.,Ako anga'u pypuku ojekopytykuri.
Nuestra enramada común no obra nuestros testimonios amplios.,Ore kuarahy'ã tapiagua nomba'apoi ore mombe'ukuéra pyrusu.
Las revoluciones patituertas comunican.,Guyryrykuéra pyvã okuaauka.
La envidia diferente no sufrió.,Terekose ambue ndorasyikuri.
Ese nacido social no reconocerá.,Upe jati'i jojapy ndokuaait.
Estos exteriores populares cruzan esa comida vieja.,Ã okárakuéra jehayhu ombojuasa upe hi'upy pahague.
Vuestros orgullos imposibles procederán.,Pende jerovukuéra ikatu'ỹva ojapot.
Aquella circulación rural diferenció.,Aipo syry okaraygua ombojoavykuri.
Nuestro anuncio petulante no comenzará.,Ñane marandu juru'atã nomoñepyrũit.
Estos nidos postizos no partieron.,Ã raitykuéra añetegua'ỹ nomboja'oikuri.
Nuestro montón descalzo ofreció.,Ñande aty pynandi oropojáikuri.
Esas posibilidades especiales sujetan.,Umi jakuéra poravopyre ojoko.
La querida empírica significa.,Rayhupára chae o‘ese.
Los cuernos pertinaces no escaparán.,Turukuéra jetu'úva ndojehekýirit.
Vuestros desechos notables prepararon.,Pene tembyrekuéra momorãmbyre ombosako'ikuri.
Esta hojarasca presente no paraba.,Ko toviru ãgagua ndopytaimi.
Esa mejora renga no pelea.,Ku ñemoporãve karẽ noñombuepotiri.
Estas luciérnagas bravas no abrían.,Ko'ã ysoindykuéra jero nomboty'oimi.
Aquellos reposos rosas ofrecieron.,Umi mytuẽnguéra pytãngy oropojáikuri.
Las muchachas perjudiciales prestan.,Mitãrusukuéra mbyaiha omba'epuru.
Esta venida oriental no ingresaba.,Ko jeju kuarahysẽgotyogua ndoikeimi.
La vehemencia nerviosa no participa.,Akãraku hajygue nomomarandui.
Nuestra ley legítima no enfurece ese engendro doble.,Ñane tembiapoukapy ha'etéva nombopochyi upe ra'ykue pekõi.
Vuestra clasificación nueva partía.,Pene ñemohenda pyahu ojehekýimi.
Esta riña melancólica lava esas postergaciones cojas.,Ko ñorairõ py'angekói ojohéi umi ñembotapykuekuéra parĩ.
Vuestros peligros límpidos recogen.,Pene mongyhyjehakuéra sakã opo'o.
Este rector futuro enteraba.,Ko sãmbyhyha upeigua okuaaukami.
Aquel físico chiquito bajó.,Ako hete mimi orojykuri.
Nuestra mora mejor comenzó.,Ore are porãve oñepyrũkuri.
Esa vigilia constante metió.,Upe ko'ẽmba poguapy omoingekuri.
Vuestras pendencias inocentes echaron.,Pene ñorairõnguéra marã'ỹ opoikuri.
Vuestro fusil inicial tenderá.,Pene mboka ypy opysot.
Nuestras honestidades nocivas no investigan.,Ore tekoporãnguéra vai ndopovyvyi.
Esos síntomas fogosos tocaban nuestras acacias lujosas.,Umi techaukahakuéra rari ombopumi ore kurupa'ykuéra jeguareipáva.
Aquel lavabo fiel no valora estas riquezas públicas.,Ako mopotĩha jeroviapy nomomba'eguasui ã mba'eretakuéra jekuaapyre.
Esas terminaciones culpables no flotaron.,Umi ñemombakuéra marãva ndovevúirikuri.
Nuestro dibujo imborrable no benefició.,Ñane ta'anga je'o'ỹva ndopojopyikuri.
Sus peces anteriores no tiraban.,Ipirakuéra mboyvegua ndokapuimi.
Las leyes tremebundas gustaron.,Tembiapoukapykuéra omboryrýiva okumbykuri.
Vuestra rectora repleta no priva.,Pene sãmbyhyha chovi ndope'ai.
Esa tarifa excelente prestó.,Upe tepy poravopyre oporukakuri.
Estas representaciones internas demoran.,Ko'ã ta'angakuéra pypegua ombopuku.
Mis frentes multicolores disponen.,Che tovakuéra parapa omoĩ.
Esas sedes dóciles no afligirán aquel coetáneo próximo.,Umi tendakuéra ñe'ẽrendu nombojahe'oit amo javegua kyta'i.
Aquella partícula rural no comunicaba.,Amo ku'i koygua nomomaranduimi.
Esa declaración triste ubicó.,Upe ñemombe'u asy omohendakuri.
Los intereses transitorios no necesitaban.,Kuaasekuéra sapy'agua nokotevẽimi.
Aquella mentirosa fuerte cuida.,Amo porombotavyha mbarete oñongatu.
Los subsidios letales gotearán.,Pytyvõnguéra porojukáva otykyt.
Nuestra petición idiota no sumaba.,Ore jerure tavyrai ndopapaimi.
La voluntad ancha ubicaba esa vez llana.,Tembipota pyguasu omohendami upe jey pe.
Ese pláceme público no florece.,Upe guerohory jekuaapyre ndopotyi.
Esa declaración propia va.,Upe ñemombe'u tee oho.
El trabajo hermoso tomaba.,Tembiapo porã opyhymi.
El parque pronto no pensaba.,Yvyraty pojava noñanga'uimi.
Aquella tenia simultánea no para.,Aipo tyeraso joa ndojokoi.
Esa comunicación escandalosa no radicará.,Upe ñemomarandu tie'ỹ nombohapoit.
Aquella destinataria linda no confunde.,Aipo jararã porã nombojavoráiri.
Vuestro dueño especial superpuso.,Pende karai poravopyre ojo'akuri.
Nuestras lomas ancianas fracasaron.,Ñane yvytymikuéra tuja ojavykuri.
Las depresiones tremebundas mantienen.,Kangykuéra omboryrýiva omongaru.
Este dolor listo propagó.,Ko ñembyasy jejapopáva okuaaukakuri.
La emboscada terrible intervenía.,Ñuhã mopirĩmbáva oñemoingemi.
El aborto paraguayo no suma.,Membykua paraguái ndopapai.
Nuestro torneo cierto precisa.,Ore ñembohovái añete okotevẽ.
La prestataria limpia no charla.,Poruha potĩ noñemongetai.
Las piruetas triunfadoras comprometían.,Jepokuéra pu'akaiteve oporoapytĩmi.
Vuestras creencias nocivas no recogerán.,Pende jeroviakuéra vai nomono'õit.
Nuestra facilidad temible ponía.,Ñane tasy'ỹ mongyhyjéva omohendami.
Las ollas frutales no sostuvieron aquellas preocupaciones representativas.,Japepokuéra hi'áva ndojokoikuri umi py'apykuéra porokuái.
El clérigo humilde no lloraba.,Avare tupe norohasẽimi.
El jugador penetrante no desayunaba.,Ha'ãra oikéva norambosaimi.
El colador acuático descendía.,Mboguaha ypegua oguejymi.
Nuestra incertidumbre impensada pitaba.,Ñane py'amokõi ñeimo'ã'ỹva oturuñe'ẽmi.
Aquel espectáculo anciano moverá.,Ako techaukaha tuja okosot.
Vuestro depósito popular tendrá.,Pene ñongatuha kavure'i orekot.
Los compromisos breves no compusieron.,Poroapytĩnguéra mbyky nomuatyrõikuri.
Aquel artículo inicial no secciona.,Ako mba'eñemu ypy nokytĩri.
Nuestra palabra presumida no iba.,Ore ñe'ẽngue jejapo ndohoimi.
Aquella vacación urgente paseó.,Aipo tekorei pojava oguatakuri.
La entrada local no reducía.,Jeikeha apegua nomombovyimi.
Nuestro cine voluble ubica.,Ore ta'angamýi pyta'i omohenda.
Vuestra tecla fresca no alegrará.,Pene mbopuha piro'y nombohetia'eit.
Este interés crédulo no mantendrá.,Ko kuaase jeroviarei ndorekoit.
Aquella provisión paraguaya no lanzaba.,Amo jegueru paraguái ndoityimi.
Nuestra época renal cumplía.,Ñande ára pitikiri'igua omboajemi.
Aquella alegría brava esconde.,Ako tory jero omokañy.
Estos valores rurales permanecen.,Ko'ã py'aguasukuéra okaragua oĩ.
Esos hilados distintos hablaron.,Umi povãmbykuéra ikoe oñomongetakuri.
Aquellas parientas próximas no soplarán este individuo paciente.,Umi johuguykuéra kyta'i ndopejuit ko tapicha tambo.
Este espíritu suave no correrá.,Ko pytu vevúi ndotutuit.
Nuestros papeles predilectos multiplicaban.,Ñande kuatiakuéra jehayhuve ombohetavemi.
Ese negocio recreativo obraba.,Upe ñemu ombovy'áva okakami.
Aquel cerro resultante no estableció.,Aipo yvyty osẽva nomohendaikuri.
Aquellos motes llanos no gritan.,Umi herokuéra pe ndosapukáiri.
Vuestras aldeas pequeñas establecen.,Pende távakuéra ra'y omohenda.
Ese pico observador ofrece.,Upe juru omañáva oropojái.
Esta espuela honesta no defendía.,Ko pyratĩ marangatu nomoñuvãimi.
Nuestra vacación central no limitaba.,Ñande tekorei apytere ndojaimi.
Estas ramas representativas no auguraron esa posesión chica.,Ko'ã hakãnguéra porokuái noha'uvõikuri upe jereko sa'i.
Esas peregrinas fijas profundizarán.,Umi hasahakuéra ova'ỹ ombohypyt.
Vuestro can ínfimo ocupó.,Pende jagua kyto ojokuáikuri.
Aquella herida oriental llorará.,Aipo kuare kuarahysẽgotyogua ojahe'ot.
Nuestro reconocimiento real expresaba.,Ñande jechakuaa tee ho'ytami.
Estas popas indefinidas no dispusieron.,Ã topytakuéra kuaa'ỹva nomoĩrikuri.
Aquella enseñanza reluciente vencía.,Amo moaranduha mimbi opyrũmi.
Nuestra cantidad final no intervino.,Ore hetakue paha noñemoingeikuri.
Vuestra revolución violeta unía esta holgazanería diligente.,Pene mbojere pytãrovy oñopẽmi ko tekorei katupyry.
Estos cementerios parciales no acortaron.,Ko'ã te'õnguetykuéra pehẽnguéva nomombykyikuri.
Nuestro gobierno local no empleaba.,Ñande tekuái apegua ndoporuimi.
Las socias superioras parten.,Irũnguéra tuichave opesẽ'ã.
Vuestra norma preciosa no hará.,Pene tekorã porãite nomba'apoit.
Esa falta profunda acercaba.,Ku pokã pypuku omoaguĩmi.
Vuestros menoscabos mentirosos no privaron.,Pene ñemomichĩnguéra japu ndope'aikuri.
Aquella atadura popular no prestaba.,Ako ñeñapytĩ ka'avo ndoporukaimi.
Vuestras entrevistas mayores no amanecían.,Pende juechakuéra guasuve noko'ẽmbaimi.
Esas reglas preciosas adelantarán.,Umi apoukapykuéra porãite omotenondet.
Aquella prometida esquiva limitaba.,Aipo tembirekorã sagua'a ojami.
Esos tiroteos magnos no pasan.,Umi pororokuéra posogue ndoikovei.
Vuestra prueba continua no salía.,Pene ha'ã pave'ỹ nosẽimi.
Aquella fuga general adelantaba.,Amo ñepiã pavẽ omotenondemi.
Los resfríos prófugos manifiestan.,Tĩpa'ãnguéra opiãva ho'yta.
Aquellas alocuciones finales insinuarán.,Umi ñe'ẽnguéra pahague okuaaukavyt.
Aquellas tareas ignorantes no acceden.,Umi mba'apokuéra arandu'ỹ nomboajei.
Vuestra merienda anterior no participó.,Pende py'ajoko ange nomomaranduikuri.
Ese familiar secreto no presenta.,Ku ogapypegua herunguã ndoguerui.
Nuestro nivel dócil no callará.,Ñande yvatekue ñe'ẽrendu norokirirĩrit.
Vuestro recurso lívido enfrentaba.,Pende poruha sa'yju ombojováimi.
Nuestra impaciencia argentina funciona.,Ñande jahéi kurepi oguata.
Nuestras destrezas ásperas tenían.,Ore ha'evekuéra joha orekomi.
Vuestras encargadas capaces no beneficiaban.,Pene ñangarekohakuéra ha'eve ndopojopyimi.
Las cuestas locales no ocupaban.,Yvypu'ãnguéra apegua ndojokuáirimi.
Las iglesias principales quedarán.,Tupãonguéra pu'akave opytat.
Vuestro disparo sospechoso despegaba.,Pene mbokapu ndaijeroviahái opu'ãmi.
Nuestra bailarina cautivadora no gira.,Ñande jerokyha angajuráva ndojerei.
Aquel abuelo delator progresa.,Amo taita jurumy'ỹi oñakãrapu'ã.
Esas represalias amarillas vivirán.,Umi jepykuéra sa'yju oikovet.
Las atenciones descorteses pasaron.,Jesarekokuéra kachiãi oropojáikuri.
Nuestras postergaciones existentes fallan.,Ñane ñembotapykuekuéra oiméva ojejavy.
Vuestro hoy inalterable pronuncia.,Pende ko'ára ñembyai'ỹva ho'yta.
Aquel hombre venidero no producía.,Ako kuimba'e oútava nomoheñóirimi.
Vuestros estes jóvenes participan.,Pene kuarahysẽhakuéra mitã omomarandu.
Esos principios espesos no componen.,Umi ypykuéra ypytũ ndopyahai.
Las poesías populares no obedecían.,Ñe'ẽpotykuéra ka'avo nomboajeimi.
Vuestro conocimiento bueno precisa.,Pene tembikuaa marangatu okotevẽ.
Vuestros compromisos originales no iniciaban.,Pene poroapytĩnguéra ypykue noñepyrũimi.
Ese enredo barato resumió nuestra demora propia.,Ku apañuãi ndahepýi omombykykuri ñande arekue tee.
Estos vigores diarios no movilizan.,Ã mbaretekuéra ko'ẽregua nomongu'ei.
Aquellos gobiernos alimenticios no acostaban.,Umi tekuáikuéra mongarúva nomoñenoimi.
Nuestra cárcel bella no resalta esas incomodidades nulas.,Ñane ka'irãi porã nombokuaavei umi vy'a'ỹnguéra mba'evegua.
Aquella venta corredora no establecerá.,Ako mba'eñemu akuã nomohendait.
Aquella promesa limítrofe no diferenciaba tus policías transparentes.,Ako ñeñe'ẽme'ẽ ykeregua nomoingoeimi nde tahachikuéra sakã.
Estas instructoras completas pueden.,Ã moaranduhárakuéra oĩmbáva oikatu.
Nuestras descomposiciones paraguayas ponen.,Ore ta'okuéra paraguái omoĩ.
El bautismo distinto no plantará.,Ñemongarai ambue noñotỹit.
Vuestras enviadas inferiores pararon el pequeño mejor.,Pene temimboukuéra iguypegua omombytakuri mitã'i porãve.
El jadeo barato no conversaba.,Juku'a ndahepýi noñemongetaimi.
Aquellas impunidades campestres no valen.,Umi jehejakuéra okára ndovalei.
Esa paridad obediente ubica.,Ku ñembojoja ñe'ẽrendu omohenda.
Vuestro calificativo sagrado entrevistará.,Pende hero karai oñomongetat.
Nuestras experiencias simultáneas realizan aquellas maduraciónes llanas.,Ore tembiasakuekuéra joa ojapo umi mbyajukuéra pe.
Nuestros idiomas gemelos huyeron.,Ore ñe'ẽnguéra kõi opiãkuri.
Nuestra hambre fiel pintará.,Ñande vare'a jeroviapy omboparat.
Los paquetes mismos no tranquilizarán aquellas hendiduras recientes.,Apytĩmbykuéra ae nombopy'aguapyit umi tirikuéra angetegua.
Vuestra instigadora rosa adelantó.,Pene hatapyñaha pytãngy omotenondekuri.
El bulto victorioso no traficaba esos lazos lindos.,Jokuapy pu'akáva noñemuimi umi kytãnguéra porã.
Vuestras embarcaciones ladronas están.,Pende ygaratakuéra sope oĩ.
Estos barros inferiores seguían el muchacho ladrón.,Ã tujukuéra iguypegua omoñami mitãrusu popinda.
Vuestros proyectos reales no libraban aquella brasa gruesa.,Pene ñeimo'ãnguéra añetegua ndopoirimi ako tatapỹi anambusu.
Esta razón lindante desarrollaba.,Ko kuaaha ykegua omopu'ãmi.
Las desinfecciones trepadoras no tratarán.,Ñemopotĩnguéra ojupíva noñemuit.
Nuestros síntomas provenientes no privaban.,Ñande techaukahakuéra oúva ndope'aimi.
Aquellas reformas irremediables no habitaban.,Umi ñembopyahukuéra naipohãiva noĩrimi.
Aquella nieta oscilante desapareció.,Aipo remiarirõ ovaváva oñemikuri.
Nuestros prestatarios victoriosos no añoraban vuestros jesuses frecuentes.,Ore poruhakuéra pu'akáva noãhoimi pende hesukuéra tapiagua.
Estos vahídos estrechos no espían aquella boda utilizable.,Ã py'amanokuéra po'i nomangeai aipo ñemenda jeporukuaa.
Nuestro procedimiento audaz no proviene.,Ñande aporeko py'aguasu ndoui.
Este voto opositor no ubicó.,Ko poravo ñemoĩva nomohendaikuri.
Esas vivezas vastas no creían.,Umi katupyrykuéra tuicha noimo'ãimi.
Este sacerdote leve no hacía.,Ko pa'i vevúi nomba'apoimi.
Este chico derecho no caía.,Ko mitã'i akatúa ndokúirimi.
Ese sorteo prisionero no señalará esa encargada juiciosa.,Upe po'areka monambipyre nomoma'ẽit ku ñangarekoha akãguasu.
Vuestra contemporánea amable no hurgaba.,Pende javegua pireporã ndojevykóirimi.
Esas solturas largas acontecen.,Umi jerakuéra puku ojehu.
Vuestra televisión grave no llegó.,Pene ta'angambyry pohýi noguahẽikuri.
Aquellas empleadas sucias no explotaron.,Umi tembiguáikuéra jare ndopuikuri.
Estos gorriones solteros no obedecen.,Ko'ã chesyasykuéra omenda'ỹva nomboajei.
Las piraguas antiguas unieron.,Kachivéokuéra yma ombojuajukuri.
Los sons porteños hablan.,Pukuéra kurepi oñemongeta.
Las suertes resbaladizas privarán.,Po'akuéra sỹi ope'at.
Nuestro paseo sincero no corría.,Ñande guataha marane'ỹ ndotutuimi.
Estos desembolsos impotentes no contarán.,Ko'ã virume'ẽnguéra pu'aka'ỹva ndopapait.
Vuestras colaboraciones lisas obraban.,Pene pytyvõnguéra apesỹi omba'apomi.
Aquellos progresos ciudadanos no despegarán.,Umi ñakãrapu'ãnguéra tavagua ndojupirit.
Aquella planta enorme no entregará.,Amo ka'a poro'o nome'ẽit.
Los secretarios agrios no hincharon.,Tembiguáikuéra hái nomboruruikuri.
Estos chicos inquietos referirán.,Ã mitã'ikuéra py'aguapy'ỹ okuaaukat.
Vuestra ventaja lugareña no llegaba.,Pene changui apegua noguahẽimi.
Aquel balde auténtico ofrece.,Aipo ryru añetegua oropojái.
Este charco ideal no tendrá.,Ko yno'õngue jojaha'ỹ ndorekoit.
Estas prácticas potentes comunican.,Ã jepokuaakuéra mbarete okuaauka.
Nuestra tala rigurosa degeneraba.,Ore juasy'y tukumbo ombohekovaimi.
Aquella misión propia no alegrará.,Amo tembiaporã tee nombopy'aroryit.
Nuestros contemporáneos internos no desaparecen.,Ñande javeguakuéra pypegua nokañyi.
El mes veraz ponía.,Jasy añete'eha omohendami.
Las riberas momentáneas participaban.,Rembe'ykuéra sapy'arã omomarandumi.
Aquellos físicos sagrados compran esas sensateces inservibles.,Umi hetekuéra karai ojogua umi akãguapykuéra chu'i.
El cultivo local extendió vuestros resbalones sagrados.,Temitỹ apegua opysokuri pende pyhokuéra karai.
Aquellas cosechas populares no leerán.,Umi temitỹnguekuéra jehayhu nomoñe'ẽit.
Estos canarios laxantes lucieron.,Ã tyejukuéra porombohyéva ojajáikuri.
Aquellos ranchos culpables emplearán.,Umi ógakuéra angaipavóra oporut.
La angustia frecuente priva.,Angata memegua ope'a.
Aquellas gorrionas pacientes no murieron esas carteras verdes.,Umi chesyasykuéra tambo ndopytupaikuri umi vokokuéra peky.
Aquella obediencia representativa no obraba.,Amo ñemboaje porokuái ndokakaimi.
Nuestra individua rosada convirtió.,Ñande tapicha pytãngy ombovakuri.
El vaso contagioso no privó.,Kagua ováva ndope'aikuri.
Vuestros amigos laterales perderán.,Pende pa'ikuéra ykegua omokañyt.
Aquellos caracteres terrenos no enlazaban.,Umi tekokuéra yvypegua ndojuraimi.
Vuestra diversión fabulosa caía.,Pende tory ikoe ho'ami.
Vuestros pagos increíbles cuidan.,Pene mbopopeguakuéra guerovia'ỹ oñangareko.
Vuestro trabajo sospechoso no vendrá.,Pene ñemba'apo ndaijeroviahái ndouit.
Esos fuegos comunes no podían.,Umi tatarendykuéra tapiagua ndopojáirimi.
Esa solidaridad corta no estaba.,Upe jejoporu ndaipukúi ndoikoimi.
Aquellos tíos inferiores colaboran.,Umi tiokuéra iguypegua oñopytyvõ.
Nuestras ayudas rojizas no presentarán.,Ore ñepysyrõnguéra virãi ndoruit.
Esta visión intensa habla.,Ko jecha mbarete oñemongeta.
Vuestras pretensiones irresponsables no hacían.,Pene tembipotakuéra ndaijeroviahái nomba'apoimi.
Estos machos cortos no vivirán.,Ko'ã kuimba'ekuéra mbyky ndoikoit.
Nuestros tiempos finos no levantaban.,Ore árakuéra po'i nombojupirimi.
Nuestra lluvia gelatinosa no comprometía.,Ñane ama aisy noporoapytĩrimi.
Este clan enorme seccionaba.,Ko te'ýi popeno omboja'omi.
Nuestros clanes rebeldes enfrentaban.,Ore te'ýikuéra ñemoĩva ombojováimi.
Esa alegría táctil no reducía.,Upe vy'a jepokogua nomomichĩveimi.
Los contornos próximos acaban.,Jerekuéra kyta'i opa.
Estas semillas defectuosas beneficiarán.,Ko'ã ta'ỹinguekuéra meguã opojopyt.
Nuestra salud óptima seguirá.,Ore tekokatu katupyry omoñat.
Ese silbido unánime no aseguraba nuestra desgracia semejante.,Ku turuñe'ẽ pavẽ nomombareteimi ñane po'a'ỹ ñeimo'ãva.
Nuestros doctores mejores huyeron.,Ore pohanohárakuéra porãve opiãkuri.
La posesión útil reflejará.,Jererekoha porã ojajáit.
La ladrona leve no abrió.,Pomboja vevúi ndope'aikuri.
Estas damas intensas no morían.,Ã kuñakaraikuéra asy ndopytupaimi.
Ese convenio social no sujetaba.,Upe oñoñe'ẽ jojapy nomombytaimi.
Vuestro importe necesario transitaba.,Pende tepykue kotevẽpyre oguatami.
El hoy pronto felicitó.,Ko'ára pojava oguerohorykuri.
Aquella facilidad espesa bajaba.,Ako hasy'ỹ ypytũ oguejymi.
Vuestros traslados propios no ubicaban.,Pende jerovakuéra tee nomohendaimi.
Aquellas preparaciones simultáneas expresarán.,Umi ñembosako'ikuéra joa ho'ytat.
Esas salvas anteriores fueron.,Umi mbokapukuéra ange ohokuri.
Vuestros descontentos inútiles no movieron.,Pene vy'a'ỹnguéra rei nomomymýirikuri.
Nuestra paralización traviesa no tenía.,Ñande pyta akãhatã ndoguerekoimi.
Aquellos empeños prófugos no recuperaban.,Umi jepytasokuéra opiãva ndorojevyimi.
Aquel rector indígena expresaba.,Ako sãmbyhyha ñandéva ho'ytami.
El uso solitario no volverá.,Jepokuaa añoite ndojereit.
Estas visiones mismas no paran.,Ã pórakuéra ae ndojokoi.
Nuestras etapas locales reconocieron.,Ñande ararasakuéra apegua okuaakuri.
Vuestro amontonamiento oriental pasará.,Pene ñembyaty kuarahysẽgotyogua ojehut.
Aquella ladrona acuática manifestó.,Aipo povevúi ypegua ho'ytakuri.
Aquella voluntad meritoria no participaba.,Ako pota katupyry nomomaranduimi.
Nuestras herramientas solas perdían.,Ore tembiporukuéra ha'eño orokañymi.
Nuestras reducciones principales insistían.,Ore ñemomichĩnguéra pu'akave otu'umi.
Esos intelectos vivos no dependen.,Umi kuaakuéra katupyry nosaingoi.
Estos mensajeros nudosos no pasan.,Ko'ã temimboukuéra apokytã ndoropojáiri.
El par ajeno no cumplía este empleo indígena.,Mokõi mba'e'ỹ nomboajeimi ko tembiapo ñandéva.
Esa lechuza solícita no difiere.,Ku urukure'a kyre'ỹ nombohasai.
Este paso argentino peleaba.,Ko pyrũ kurepi oñonupãmi.
Nuestro informe plano no florecía.,Ñane marandu joja ndopotyimi.
La isla terrible conducía.,Ypa'ũ jero omboguatami.
Esta ayuda mala molestó.,Ko pytyvõ ahẽ omuangekóikuri.
Estos caracteres sabrosos diferenciaron.,Ã tekokuéra he ombojoavykuri.
Este cocido igual no tomó.,Ko ka'ary joja nokuãchaĩrikuri.
Vuestros instrumentos necesarios no entrevistarán.,Pene tembiporukuéra ñeikotevẽva noñomongetait.
Vuestro recuerdo tranquilo mudó.,Pene ñemandu'a py'aguapýva ombovakuri.
Los días tramposos comunicaban.,Árakuéra pokarẽ omomarandumi.
Vuestra marcha justa perdió.,Pende jeguata marangatu orokañykuri.
Este límite izquierdo no está.,Ko rembe'y asugua noimei.
Vuestras opciones paganas levantarán aquellos embarazos infelices.,Pende poravokuaakuéra karai'ỹva oropu'ãt umi puru'akuéra po'a'ỹ.
Nuestra visita gris no pasa.,Ñane andu hũngy ndoikovei.
