Este recipiente fácil unía.,Ko hyru ndahasýi ombojuapymi.
Vuestra arcilla acuática convirtió.,Pene ñay'ũ ypegua ombovakuri.
Esta tranquilidad hábil tambaleó.,Ko py'aguapy katupyry ombovavakuri.
Ese plato grasiento no valía.,Pe tembi'u kyra ndovaleimi.
Nuestro ojo preso no cocía.,Ñande tesa monambipyre nomimóirimi.
Nuestros campos geniales significaban.,Ore okárakuéra arandu o‘esemi.
El reo sensato no despotricará.,Apovaihare akãguapy ndojejuru'oit.
Aquellas aguadas corredoras no hablan.,Umi yguakuéra akuã noñomongetai.
Las iras ulteriores no acercan.,Pochykuéra riregua nomoaguĩri.
Vuestra enseñanza miserable no quedó.,Pene tekombo'e moopi ndopytaikuri.
Aquel amo rosa no dirigía.,Ako jára pytãngy nosãmbyhyimi.
Nuestras pérdidas oportunas no significaron.,Ore jerokañynguéra hi'aragua ndo‘eseikuri.
Vuestro navío notable no movilizará.,Pende ygarata kuaapyrã nomongu'eit.
Aquel dorso necesario ofrece.,Ako hekua'ỹ kotevẽpyre oropojái.
Estas maletas pares reflejaban.,Ã vuruhákakuéra kõi ojajáimi.
Esa mujer igual lució.,Ku tembireko joguaha ojajáikuri.
Aquellas dadoras orales abrirán.,Umi me'ẽhakuéra jurugua omboty'ot.
Estos enlaces firmes unirán.,Ã joajukuéra mbarete oñopẽt.
Esos apartamientos lampiños no mueren.,Umi jepe'akuéra apĩ ndopytupai.
Aquellas traducciones originarias no comunicarán.,Umi ñembohasakuéra ypygua nomomaranduit.
Vuestros fundamentos terrestres no ofrecían.,Pende rapokuéra yvypegua ndoropojáirimi.
Esa salud breve no conduce.,Upe tekokatu mbyky nosãmbyhyi.
Este medidor bajo ubicaba.,Ko ha'ãha pe omohendami.
Aquella patria fea no injuria aquella prontitud torpe.,Aipo tetã kelembu nomomarãi aipo pya'ekue ha'eve'ỹ.
Vuestro flujo ambicioso lloró.,Pende syry taryrýi ojahe'okuri.
Estas abundancias mismas mudan.,Ko'ã tetakuéra ae orova.
Aquella caída lista fijaba.,Amo je'a pojava ojatykami.
Las finalidades generales sufren.,Hupytypyrãnguéra pavẽ orasy.
Nuestras quemas rigurosas enfrentaban.,Ñande jekáikuéra tukumbo ombohováimi.
Aquellas preferencias necesarias precisarán el mercado sucesivo.,Umi tembiayhukuéra kotevẽpyre okotevẽt ñemuha memegua.
Aquellos palos virtuosos detendrán.,Umi yvyrakuéra marangatu omombytat.
Vuestra punta vigorosa detenía.,Pene tĩ mbarete omboaremi.
Aquel derroche urbano no niega.,Ako pomombo tavagua nombotovei.
Nuestra autora pacífica desarrolló.,Ñande apohare py'aguapy omopu'ãkuri.
Nuestras casualidades frecuentes no emplean.,Ore ñaimo'ã'ỹvakuéra popy'ỹi ndoporui.
Vuestro flagelo flotante no aborta.,Pene tukumbo ovevúiva nomembykuai.
Esa descomposición inicial no adelantará.,Ku ta'o ypy nomotenondeit.
Esa salida memorable acercaba.,Ku ñesẽ mandu'arã ombojami.
Nuestros elogios pésimos comprometieron.,Ñane momorãnguéra ñaña oporoapytĩkuri.
Aquellos niveles bajos no hicieron.,Umi jojahakuéra tupe ndojapoikuri.
Aquel transcurso tremendo guarecerá esta visibilidad hueca.,Amo jehasa kyhyjerã opytyvõt ko tesakã nandi.
Nuestros momentos desmañados no inician.,Ñande sapy'akuéra pituva noñepyrũi.
Los incendios mayores no lanzarán.,Káikuéra kakuaa ndopoirit.
Aquellos bienestares sonoros no obrarán.,Umi torykuéra ipúva ndokakait.
Aquel despertar práctico no salta.,Amo páy jeporukuaa ndopopoi.
Los comercios volátiles no ocupan.,Ñemuhakuéra ovevéva ndojokuáiri.
Esta línea original no obedecerá.,Ko hai ypypegua noñe'ẽrenduit.
Esos nacimientos notorios no encaminarán.,Umi ñesẽnguéra jekuaapyre nomboguatait.
Ese pasaje audaz confió.,Pe hasaha py'aguasu oroviakuri.
Estos inspectores clandestinos viajaron.,Ã ma'ẽhakuéra syvy oguatakuri.
Vuestro ideal sinvergüenza no trabajará.,Pene jojaha'ỹ tie'ỹ nomba'apoit.
Aquellos sementales agudos no suspiran.,Umi kohúdokuéra akua ndopy'ahoi.
Los edificios completos faltan.,Ógakuéra oĩmbáva oja'yvere.
Aquellas gatas vivas prolongaron esos resultados dobles.,Umi mbarakajakuéra ha'eve omboarevekuri umi tembiapokuekuéra joyvy.
Esta licencia ciudadana no podrá.,Ko sãso tavagua ndoikatuit.
Esta viuda pura no tiraba.,Ko tembirekove'ỹ marane'ỹ ndoityimi.
Esta enseñanza portadora fluctúa.,Ko moaranduha reruha opy'amokõi.
Aquellos torrentes hermosos no radicaban.,Umi ysyrykuéra porã nombohapoimi.
Vuestro enviado sucesivo adelantaba.,Pene tembijokuái memegua omotenondemi.
Esa garganta parca no rompió.,Ku ahy'o ñe'ẽmbyky nomopẽikuri.
Aquellas famas sospechosas no proceden.,Umi terakuãnguéra ndaijeroviahái ndojapoi.
Ese estado posesivo no necesitará.,Pe ñeĩ mba'éva nokotevẽit.
El mandamiento propio no procede.,Tembiapoukapy tee ndojapoi.
Las razas realizables no trabajarán.,Te'ýikuéra jejapokatúva nomba'apoit.
Esos usos inteligentes esconderán.,Umi jepokuaakuéra katupyry oñongatut.
Esta toma redonda no dirigirá.,Ko ñemokõ apu'a nosãmbyhyit.
Los miradores existentes ladran.,Ma'ẽhakuéra oiméva oñarõ.
Nuestras publicidades medias fallarán.,Ore momarandukuéra mbytere ojavyt.
Ese robo gordo recuperará.,Upe ñemonda kyra orojevyt.
Vuestra negativa leve no cedió.,Pene ñembotove vevúi nome'ẽikuri.
El aval antipático compondrá.,Jeroviaukaha joha omuatyrõt.
Vuestros extremos diestros no ruedan.,Pene apỹinguéra akatúa ndojaparoi.
Vuestros cruces selectos plantaban.,Pende juasakuéra poravopyre oñotỹmi.
El faisán prestigioso no pasea.,Mytũ ka'avo ndoguatai.
Nuestras consecuencias cortas echarán.,Ñande tapykueguakuéra mbyky omosẽt.
Esta funcionaria temporal no recuperaba.,Ko tembijokuái ndahi'aréi ndorojevyimi.
Aquella querencia nueva rompía.,Amo vy'aha pyahu omongu'imi.
Aquel apetito ciudadano insinuaba.,Aipo karuse tavagua okuaaukavymi.
Esta luz apócrifa presenta.,Ko tesape añetegua'ỹ oru.
Nuestras transiciónes desagradables quiebran.,Ñane ñembohasakuéra santoro osoite.
Nuestras inquietudes silenciosas no meten.,Ñane angatakuéra kirirĩ nomoingei.
Estos rezos transitorios no creerán.,Ã ñembo'ekuéra sapy'agua ndoroviait.
Aquellos cariños pequeños no jugaron.,Umi tembiayhukuéra ra'y nombojaruikuri.
Estas juezas laterales comprometen.,Ko'ã yvyrajakuéra ykegua oporoapytĩ.
Aquellos archivos pacíficos no pelearán.,Umi ñongatuhakuéra py'aguapy noñombuepotirit.
Vuestras igualdades públicas no esclarecen los vecindarios duros.,Pende tekojojakuéra pavẽ nomohesakãi amandajekuéra mbarete.
Vuestra fuente decente levantaba.,Pende yvu potĩ oropu'ãmi.
Vuestras juezas santas pernoctaban.,Pende yvyrajárakuéra marangatu oñembohupami.
Nuestras sobriedades sucias concluían.,Ñande u'ikuéra jare ojapopami.
Aquellos caminos escasos accederán.,Umi tapekuéra pokã oneĩt.
Aquellas voces pedigüeñas meterán.,Umi ahy'okuéra juru'akua oñoñat.
Aquellas fricciones aprovechadoras esperan.,Umi pichykuéra juru'akua ojerovia.
Esas evidencias rollizas cambiarán.,Umi tesakãnguéra kyrapu omoambuet.
Aquellos ingresos infelices presumían.,Umi jeikekuéra morombi ojejapomi.
Esas fogatas campesinas no enlazan.,Umi tataypykuéra okára nomosãi.
Aquella caída lista beneficiaba.,Ako je'a pojava opojopymi.
Ese tratado bello no moraba.,Pe oñoñe'ẽ porã ndoikoimi.
Estas estaturas mejores no cargaron nuestros animales fuertes.,Ko'ã yvatekuekuéra porãve nomyenyhẽikuri ñane tymbakuéra pu'aka.
Nuestras confrontaciónes nocivas no benefician.,Ñane mbohováikuéra vai ndopojopyi.
Esos marcos infinitos divulgarán el pilar inteligente.,Umi jerekuéra apyra'ỹ omoherakuãt okyta akãporã.
Mi agente inicial bajará.,Che tahachi ypypegua orojyt.
El nene próximo unirá.,Mitã'i kyta'i oñopẽt.
Vuestras provincias ligeras mantienen.,Pende teta'ikuéra vevúi oreko.
Ese fracasado variable podía.,Upe javyhára opyta'ỹva oikatumi.
Nuestros comunicados mulatos no desbordaron vuestro taller campesino.,Ore ñemomarandukuéra ka'ajarýi ndochovirikuri pene mba'apoha okára.
Vuestra cooperación ausente no desaparecía.,Pene mínga pore'ỹ nokañyimi.
Esas educaciones hondas no trataban.,Umi mbo'ekuéra pyko'ẽ noñemuimi.
Nuestras materias antiguas no bromearán este lazo total.,Ñane mba'ekuéra ymaguare nombojaruit ko apytĩ oĩmbáva.
Aquellos caldos salientes no molestarán.,Umi jukysykuéra osẽva noko'õit.
Esas incapacidades argentinas no producirán.,Umi ha'eve'ỹnguéra kurepi nomoheñóirit.
Nuestra verdad intensa no fijará.,Ñane añete asy ndojatykait.
Nuestro ángulo principal entendía.,Ñande rugua pu'akave oñe'ẽkumbymi.
La popularidad electa inflamará.,Jekuaa jeporavopyre omyendyt.
Los papeles talentosos quebraron.,Kuatiakuéra akãporã omopẽkuri.
Mis guías breves prensaban vuestros comportamientos grandes.,Che mboguatahakuéra mbyky ojopymi pende tekokuéra erádo.
Vuestras salidas tranquilas huyeron.,Pene sẽnguéra ñakãguapy opiãkuri.
Este lago unánime no morirá.,Ko ypa pavẽ nomanoit.
Nuestros casamientos vencedores paren los compromisos menores.,Ñane ñemendakuéra pu'akave omemby poroapytĩnguéra michĩve.
Aquellas quejas mortales no rodean.,Umi chi'õnguéra ojukáva nombojerei.
Vuestro robo adverso encaminó.,Pende jejavyky pane omboguatakuri.
Aquella semejanza perdurable no manifestó.,Aipo joja hi'are ndeho'yitakuri.
Vuestra sede saliente no exaltaba.,Pene tenda osẽva nombotuichaimi.
Esas rupturas tranquilas felicitan.,Umi jekakuéra ñakãguapy orohory.
Vuestra reflexión buena no fracasaba.,Pene py'angata marangatu ndojavyimi.
Aquellas pensadoras presentes no reglamentan.,Umi ñeimo'ãvakuéra oiméva ndojapoukai.
Vuestros locales corajudos no quebraban.,Pende ógakuéra py'aguasu ndosoiteimi.
Vuestros conductores largos harán.,Pene sãmbyhyhakuéra vuku ojapot.
Los flagelos terrenos radicaron.,Tukumbokuéra yvypegua ombohapokuri.
El vocabulario sano alcanzó aquellos niños corredores.,Ñe'ẽndy kuera omoingokuri umi mitã'ikuéra akuã.
Nuestro calambre ambicioso no explotará.,Ore kuruchi taryrýi ndopuit.
El homicidio preso no cortó.,Jejuka monambipyre nokytĩrikuri.
Esas personas capaces regresarán.,Umi yvypórakuéra pu'aka ojeret.
Aquella alerta intensa no descendía.,Amo atõi mbarete ndoguejyimi.
Aquella mercadería tranquila pasará.,Aipo joguapyrã kirirĩ oikot.
Nuestros socios diferentes señalarán estas familias imposibles.,Ñane irũnguéra ambue omoma'ẽt ko'ã ogapypeguakuéra ikatu'ỹva.
Aquellos medios personales esperan.,Umi ku'akuéra tee ojerovia.
Vuestros hechos ilegales no entendieron.,Pende jehupyrekuéra kañy nokumbyikuri.
Esa opositora nueva gotea.,Ku mbohováiva pyahu otyky.
Aquel adivino general no juega vuestro seguidor idéntico.,Ako oha'uvõva pavẽ nombojarui pende rapykuerigua peteĩcha.
Nuestros varones precarios abrazarán.,Ñane kuimba'ekuéra cha'ĩ oañuãt.
Vuestro juicio interesante pasó.,Pene apytu'ũ pombovy'áva oakuãkuri.
Aquella denuncia verde llevará.,Ako mombe'u kyrỹi oguerahat.
Estos recorridos hondos no burlaban.,Ã guatahakuéra pypuku nombotavyimi.
Ese clamor imbécil no miraba.,Ku sapukái tavyrai nomañaimi.
Vuestro fondo hipócrita dirigía.,Pende kupe ñensuguy osãmbyhymi.
Nuestra prensa ordinaria no comprometía.,Ore jopyha jepigua noporoapytĩrimi.
Nuestra antepasada guapa no abría.,Ñane ramói porã ndope'aimi.
Aquel vínculo genial no necesitará.,Aipo joaju arandu nokotevẽit.
Aquellos lacayos habituales sufrirán.,Umi tembiguáikuéra meme orasyt.
Las dificultades ajenas velan.,Mopa'ãhakuéra mba'e'ỹ ojaho'i.
Nuestro pasaje recurrente funciona.,Ñande hasaha sapy'apy'a oguata.
Vuestro agricultor débil no tiró.,Pende chokokue kangy ndokapuikuri.
Nuestras doñas solas vencieron vuestras violencias extraordinarias.,Ore jopóikuéra ae opyrũkuri pene rairõnguéra tapiagua'ỹ.
Este nacimiento puerco no inició este esparcimiento honesto.,Ko ñesẽ ky'a noñepyrũikuri ko vy'aha marangatu.
Este vuelco herbívoro no recuperará.,Ko apajeréi kapi'i'uha ndorojevyit.
Aquellas apuestas inconstantes no acompañaban ese conductor oscilante.,Umi ñua'ãnguéra py'ahetáva nomoirũimi ku tendota ovaváva.
Esta almohada serena seguirá.,Ko akangyta akãguapy omuñat.
Nuestra expulsión verde no partió.,Ore ñemosẽ peky nombosa'irikuri.
Estas golondrinas postizas no hacen.,Ko'ã mbyju'ikuéra añetegua'ỹ nomba'apoi.
Estos asesinos lluviosos no ofrecían.,Ã jukahakuéra amandy nokuave'ẽimi.
Nuestro cordón tacaño ingresaba.,Ñane sã pojopy oikemi.
Nuestros prestatarios abortivos no pensaban.,Ore poruhakuéra poromomembykuáva noimo'ãimi.
Ese conocimiento bermejo cumplirá.,Pe jekuaa pytã omboajet.
Nuestro follaje vigoroso no entendía.,Ore togue mbarete nokumbyimi.
Aquellos errores diarios tienen.,Umi mba'eavykuéra ko'ẽregua oreko.
Aquel soporte opositor no valió.,Amo jokoha ñemoĩva ndovaleikuri.
Estos galanes nobles gustaron.,Ko'ã kichihakuéra marangatu okumbykuri.
Nuestra caja negra no prevalecerá.,Ñande ryru hũ ndopu'akait.
Esos chicos eventuales no visitarán el gusto vivo.,Umi mitã'ikuéra tapiagua'ỹ noñandúit hekue oikovéva.
Aquella malicia llena no puede.,Amo aña chovi ndoikatui.
Estos traseros vulgares no tomaron.,Ã atukupekuéra kachiãi nokuãchaĩrikuri.
Aquellos locales diferentes gozan nuestro doctor eventual.,Umi ógakuéra ambue ovy'a ore pohanohára tapiagua'ỹ.
Vuestros partidos capaces llevarán.,Pene ñembosaráikuéra ha'eve orahat.
Vuestros envíos inexcusables migrarán.,Pene ñemondokuéra ñyrõ'ỹva ovat.
Aquella vía prestigiosa acercaba.,Aipo guataha ka'avo orojami.
Esa oferta dulce no irá.,Upe ñekuã he'ẽ ndohoit.
Vuestro difunto brillante no hará.,Pene te'õngue mimbi nomba'apoit.
Esa estatura interna no cortaba.,Upe yvatekue pypegua nokytĩrimi.
Vuestros jovencitos temporáneos limitaron.,Pene mitãrusukuéra ndaipukúi omboapýrakuri.
Este chicote posible abrirá.,Ko tukumbo ikatúva ope'at.
Los defensores orientales detendrán.,Pytyvõhakuéra kuarahysẽgotyogua omombytat.
Aquel penal limítrofe no bajaba.,Amo ka'irãi ykeregua nomboguejyimi.
Vuestras cosas dañinas no privan.,Pene mba'ekuéra mbyaiha ndope'ai.
Esta distancia moderna no castiga vuestra plantación ancha.,Ko pa'ũ ãgagua nombuepotiri pende kapuéra pe.
Ese freno capaz no caminaba.,Pe jurukaha ha'eve ndopykúirimi.
Esa pobreza práctica adelanta.,Ku ñeikotevẽ jeporukuaa omotenonde.
Mi coma grande abrazaba.,Che kemano nguasu oañuãmi.
Esta prueba oral inclina.,Ko ñeha'ã jurugua omovã.
Aquel amanecer fresco no metía.,Amo ko'ẽjusoro piro'y noñoñaimi.
Nuestros precios lunares expresarán.,Ñande tepykuéra jasypegua ho'ytat.
Nuestras veces llevaderas pintaban.,Ore hakuéra ñambohasakuaáva omboparami.
Esa ida permanente retorna las lomas mayúsculas.,Upe ho tapiagua ojevy yvytymikuéra kakuaa.
Ese invierno largo no giraba.,Ku araro'y puku noñembojereimi.
Vuestras ventajas nulas no lamentaban.,Pene changuikuéra mba'evegua nombyasyimi.
Esos abandonos tétricos bromearán.,Umi piãnguéra ñypytũ ombojarut.
Esos arreglos esféricos habitarán.,Umi myatyrõnguéra apu'a oimet.
Nuestros algodones chicos no comprometían.,Ore mandyjukuéra plíki noporoapytĩrimi.
Aquella circulación oculta desarrollará.,Amo syry herunguã omongakuaat.
Aquellos amigos indígenas vivían.,Umi tayhupárakuéra ñandéva oikomi.
Vuestra incertidumbre dañina no tomó.,Pene py'amokõi harúva ndopo'oikuri.
Vuestro poder urbano extendió.,Pende pokatu tavagua omoasãikuri.
Nuestros vientres observadores no conducían.,Ore py'akuéra omañáva nomboguataimi.
Aquellos presidentes ruines no encajaban.,Umi mburuvichakuéra kachiãi nokuapytĩrimi.
Vuestras lanas electas echaron.,Pende charakuéra jeporavopyre omosẽkuri.
Nuestras gravideces rosas no recuperarán.,Ñande tyeguasukuéra pytãngy ndorojevyit.
Esa clasificación tranquila no rompe.,Ku ñemohenda py'aguapýva nomondoroi.
El cuñado enano no mudaba.,Tovaja karape nombovaimi.
Vuestro pasto paraguayo cuenta.,Pende kapi'ipe paraguái omombe'u.
Vuestros robos solos no ponen.,Pene ñemondakuéra ño nomoĩri.
La miel pacífica no entregará.,Eíra py'aguapy nombopojáirit.
Vuestras cocineras duras no encaminaban.,Pene tembi'u'apohakuéra atã nomboguataimi.
Vuestro flujo atractivo para.,Pende syry kavure'i opyta.
Esos embusteros negruzcos no rodearon.,Umi porombotavyhakuéra hũngy ndojereikuri.
Aquellos jardines corajudos hablan.,Umi yvotytykuéra py'aguasu oñe'ẽ.
Este secreto propio caminaba.,Ko ñemimby tee opykúimi.
El prestatario listo no entendía.,Poruha pojava noñe'ẽkumbyimi.
Vuestras visiones lindas no recelarán.,Pende pórakuéra porã nomopohãit.
Vuestro padecimiento menor no participaba.,Pende tekoasy michĩve nomomaranduimi.
El descontento dócil no comunicaba.,Vy'a'ỹ ñe'ẽrendu ndokuaaukaimi.
Esta administradora diligente no transigía.,Ko sãmbyhyha katupyry noñeme'ẽimi.
Esta ocasión grande no insinuaba.,Ko ja kakuaa ndokuaaukavyimi.
Vuestras manos presas precisan.,Pende pokuéra ñemonambi okotevẽ.
Vuestra circulación cierta largará ese pecho letrado.,Pende syry añete opoit ku ñe'ã arandu.
Esta etapa inaceptable jugará.,Ko ararasa váiro ombojarut.
El vaciamiento pendenciero hace.,Ñenohẽ porohekáva omba'apo.
Nuestros infantes parejos mantienen.,Ñane mitã'ikuéra jave oreko.
Aquellos esclavos prácticos llevaron.,Umi tembiguáikuéra jeporukuaa orahakuri.
Ese buitre norteño no para.,Pe karakara yvatevogua ndopytai.
Aquel paso traidor no aclaraba ese calor tremendo.,Ako pyrũ py'ajoyvýva nomyesakãimi ku taku kyhyjerã.
Vuestros barros presos desarrollan.,Pende tujukuéra monambipyre omongakuaa.
Esos ej.s baladís no comunicarán.,Umi tembiecharãnguéra rei ndokuaaukait.
Aquel costo medio convertía.,Amo repy mbytere ombovami.
Este préstamo social no duplicará aquellas asunciónes inexistentes.,Ko jeporuka jojapy nomomokõirit umi jejupikuéra oĩ'ỹva.
Vuestra sentencia ciudadana obró.,Pene ñe'enga tavagua omba'apokuri.
Este cine sórdido no hace.,Ko ta'angamýi ky'a ndojapoi.
Nuestra falta irresponsable acabó.,Ñande teko'avy ndaijeroviahái omohu'ãkuri.
Nuestra autoridad posible no funcionó.,Ore tendota ikatúva ndoguataikuri.
Vuestros penales intensos recogían.,Pene ka'irãinguéra mbarete omono'õmi.
Estas holgazanerías conocedoras no sucumbirán.,Ko'ã tekoreikuéra emba'ekuaáva nomanoit.
Este manojo flacucho no tenía.,Ko apesã piruchĩ ndoguerekoimi.
Vuestra vacación mayor no brincará.,Pende tekorei guasuve ndosarakirit.
Nuestros doctores ácidos comunicaban.,Ñane pohanohárakuéra hái okuaaukami.
Los comestibles limpios no pronunciaban.,Upyrãnguéra potĩ nomoñe'ẽimi.
La verdura pobre insinuaba.,Ka'a anga okuaaukavymi.
Esos físicos largos plantarán vuestro tropezón oportuno.,Umi hetekuéra vuku omoñembo'yt pene ñepysanga ha'etegua.
Los comercios vespertinos no reconocieron.,Ñemuhakuéra ka'arugua ndokuaaikuri.
Esa permanencia menor escapa.,Ku pyta michĩve otutu.
La cooperación proveniente lucirá.,Pytyvõ oúva ojajáit.
Las bodas malintencionadas ingresaron.,Mendakuéra ñañaséva oikekuri.
Estos carbones especiales discutieron.,Ã tatapỹinguéra poravopyre oñombohováikuri.
Este lubricante culpable tenderá.,Ko ñandýva marãva omosaingot.
Vuestro mes óptimo no volvía.,Pende jasy katupyry ndojereimi.
Aquella seguridad infeliz no recuperará.,Aipo kyhyje'ỹ po'a'ỹ ndorojevyit.
Aquellos lapachos prepotentes tiraron.,Umi tajykuéra mbarete oitykuri.
Vuestra conciencia linda inició.,Pende tekoresa porã oñepyrũkuri.
Nuestros centros grandes cortaban.,Ore mbytekuéra poguasu okytĩmi.
Nuestro chancho temporal meterá.,Ñande kure ndahi'aréi omoinget.
Este itinerario amplio no alza.,Ko taperã pyrusu nomopu'ãi.
Aquella prensa extraordinaria abría.,Ako jopyha jepigua'ỹ ope'ami.
Esa incomprensibilidad pronta no interviene.,Ku tesakã'ỹ pojava noñemoingei.
Tu policía decente no disparó ese taller mocoso.,Nde tahachi potĩ ndokapuikuri pe tembiapoha tĩsyry.
Aquellos meses falsos no harán.,Umi jasykuéra pokarẽ nomba'apoit.
Este mosquito terrestre tenía.,Ko mbarigui yvypegua orekomi.
Mi comandante brillante recogió.,Che mburuvicha overáva ombuatykuri.
Las cenizas cualesquiera no jugaban.,Tanimbukuéra oimeraẽva nombojaruimi.
Aquellos ancianos futuros intervendrán.,Umi lekajakuéra upeigua oñemoinget.
Vuestras mentirosas rurales refieren.,Pene porombotavysévakuéra okaragua okuaauka.
Aquellas éticas indomables no concluirán.,Umi tekoporãnguéra saite ndojapopait.
Vuestro propietario breve pasará.,Pende jára mbyky oropojáit.
Aquellas frutas bellas explotan.,Umi ‘akuéra porã opu.
La moneda confidencial trató.,Pirapire ñemihapegua oñe'ẽkuri.
Nuestras estimas urgentes lanzaron.,Ore mborayhukuéra pojava opoikuri.
Aquellas impunidades corredoras conducirán.,Umi jehejakuéra akuã osãmbyhyt.
Ese voto intermedio no significa.,Ku poravo mbytepegua ndo‘esei.
Vuestro modo húmedo llevó.,Pende teko akỹ oguerahakuri.
Estas cuidadoras pésimas no viajan.,Ko'ã ñangarekohárakuéra ñaña ndoguatai.
Aquellos sectores celestiales no errarán.,Umi pehẽnguekuéra yvagapegua ndojejavyit.
Aquellos indicios tartamudos no enfrentaban.,Umi techaukahakuéra ñe'engu nombohováirimi.
Vuestra trampa aguda no niega.,Pene ñuhã akua nombotovei.
Este testimonio falso halló.,Ko mombe'u añetegua'ỹ ojohukuri.
Nuestra falda observadora comprometió.,Ñande sái omañáva oporoapytĩkuri.
El objetivo usual no gozó.,Jejaporã jepokuaa ndovy'aikuri.
Este camposanto azul despotricaba.,Ko te'õnguety chovy ojejuru'omi.
El error central viaja.,Mba'eavy apytere oguata.
Vuestro tapir limpio no enumeró nuestra promoción puntual.,Pene mborevi potĩ ndopapaikuri ore ñemotenonde ha'etéva.
El freno oral acompaña vuestras orejas desdichadas.,Jokoha jurugua omoirũ pene nambikuéra po'a'ỹ.
Vuestras lluvias flojas quedan.,Pene amakuéra kuchu opyta.
Esas vecinas prontas pusieron.,Umi ykereguakuéra pojava omoĩkuri.
Nuestros flujos antiguos no ocupaban.,Ore syrykuéra ymaguare ndojokuáirimi.
Ese cuidador firme giraba.,Pe ñangarekohára mbarete oñembojeremi.
Estos vicios policromos no vivirán.,Ko'ã tekovaikuéra para ndoikoveit.
Las sierras imposibles no ruedan.,Mbokichi'ĩhakuéra katu'ỹva ndojerei.
Las camas tristes comenzaron.,Tenimbekuéra aturu oñepyrũkuri.
Nuestro nivel infelice limitará.,Ñande yvatekue morombi ojat.
La malicia posterior refleja.,Aña riregua ojajái.
Vuestras llamas perennes no ubicaron esas escoriaciones determinativas.,Pene tendykuéra memegua nomohendaikuri umi jepire'okuéra moteĩva.
Aquel requisito venidero no entrevistará.,Amo ñeikotevẽva oútava noñomongetait.
Nuestras conformidades útiles no saltaban.,Ore mboajekuéra porã ndopoimi.
Aquella bebida parca no acogerá.,Amo jey'urã ñe'ẽmbyky nomoguahẽit.
Esta abeja misma no corta.,Ko eiru ae nokytĩri.
Aquella cantidad inagotable no denominará esta vigilia irresponsable.,Amo teta opa'ỹva nombohérait ko ke'ỹ ndaijeroviahái.
Nuestras paradas ricas no insistieron.,Ñande pytahakuéra mba'eheta ndotu'uikuri.
Vuestros encuentros oponentes no viven.,Pene ñuvaitĩnguéra ombohováiva ndoikoi.
Esas normas ladronas no proseguían esa yuca honda.,Umi tekorãnguéra sope ndojapoveimi upe mandi'o pyko'ẽ.
Estas observaciones llenas empleaban.,Ko'ã jehechakuéra chovi oporumi.
Esos propósitos malhablados no callaban.,Umi tembipotakuéra juruvaíva norokirirĩrimi.
Las criaturas provenientes seleccionan nuestros polvorines derechos.,Kunumikuéra oúva oporavo ore mbariguikuéra yvi.
Esta meta superiora funcionará.,Ko jejapose porãve oguatat.
Los topes hipócritas no pasaban.,Apykuéra ñensuguy ndoikoveimi.
El significado nervudo unió.,Te'ise hajygue ombojoajukuri.
Esa cola argentina no burlaba.,Upe ruguái kurepi nombotavyimi.
Aquel sembrado momentáneo no esconde.,Ako kokue sapy'arã norokañyi.
Vuestra bisabuela necesaria no forzaba aquellos tontos taciturnos.,Pende taitaguasu ñeikotevẽva norairõimi umi výrokuéra kirirĩ.
Aquellos fuegos definitivos obedecen.,Umi ratakuéra opytaitéva omboaje.
Nuestros empleos interesantes partirán.,Ore tembiapokuéra pombovy'áva opesẽ'ãt.
Esa playa cómoda no establece.,Upe rembe'y piro'y nomohendai.
Las maderas rojas comprometerán los vecinos mestizos.,Yvyrakuéra pytã oporoapytĩt tavayguakuéra ka'ajarýi.
Vuestro abanico enojadizo no charlaba.,Pende pejuha ñemyronde noñemongetaimi.
El pocillo próximo no desertará.,Mba'yru'i kyta'i nopiãit.
Vuestras vitalidades tremendas acaban.,Pene tesãinguéra kyhyjerã omomba.
Aquella medida urgente plantó.,Ako ta'ãha pojava oñotỹkuri.
Vuestra relación horrenda no condujo.,Pende jokuaa omondýiva nomboguataikuri.
Estos productos rápidos concurrirán.,Ã tembiapokuekuéra kyre'ỹ oje'óit.
Estas defensoras ilegales no hincharán.,Ko'ã pysyrohárakuéra kañy nomoapenoit.
Aquel ímpetu vivo no pasa.,Aipo mbaretekue oikovéva nombohasai.
Estos nacimientos vacantes no dirigirán.,Ko'ã teñoihakuéra nandi nosãmbyhyit.
La demolición general no cuidará.,Jeity pavẽ noñongatuit.
Aquellas idoneidades argentinas no compusieron.,Umi ha'evekuéra kurepi nomuatyrõikuri.
Esa ropa general dudaba.,Upe ao pavẽ opy'ahetami.
Vuestra división impar no prestó.,Pende ja'opy naimokõivai nomba'epuruikuri.
Aquella tenencia azul no obedece.,Amo poru chovy nomboajei.
Estos caracoles ideales no finalizarán.,Ko'ã jatytakuéra potapyrã nomombait.
Aquel pantano generoso rodeará.,Aipo apasusũ jepome'ẽ ombojeret.
Este campo idéntico no sangraba vuestra inflamación joven.,Ko okára peteĩcha nombohuguyimi pende ruru pyahu.
Aquellas vocingleras secretas movilizan.,Umi aka'ẽnguéra herunguã omongu'e.
Nuestro sacerdote perjudicial investigó.,Ore avare mbyaiha omboguyguykuri.
Este coscorrón sorprendente pasó.,Ko túke ñeimo'ã'ỹva oakuãkuri.
El comunicado rojo reglamenta.,Ñemomarandu pytã ojapouka.
